,user,item,rating
0,43817,13903,3
1,50674,2077,5
2,18959,7761,3
3,4972,8380,3
4,55788,11494,4
5,9929,9885,4
6,13375,14160,2
7,25096,11114,3
8,3110,1599,3
9,43398,12932,3
10,42232,4048,3
11,4313,1500,4
12,18629,14569,2
13,51923,5570,5
14,49109,13673,3
15,6329,2103,5
16,2091,3883,3
17,38044,9080,4
18,17608,10880,4
19,13587,8829,4
20,46192,7883,3
21,30094,4564,3
22,23786,9550,3
23,27601,8384,4
24,43949,11949,5
25,9768,14723,5
26,46194,4597,4
27,25618,15873,4
28,35187,15316,4
29,43478,12392,4
30,41081,4247,4
31,42176,3726,4
32,38891,7541,4
33,50076,2235,4
34,33640,13162,4
35,16499,7916,4
36,1851,12240,3
37,41688,423,4
38,39212,4347,3
39,44304,10718,4
40,22471,10703,4
41,9793,4922,3
42,22652,8653,4
43,43939,10653,5
44,32391,10370,4
45,43022,10866,4
46,22337,7452,3
47,30394,15078,2
48,15185,10865,4
49,46998,7916,2
50,3290,2296,5
51,20998,9583,5
52,49395,10653,3
53,39851,9611,4
54,6971,15194,3
55,2445,2554,3
56,51409,9211,3
57,32764,3476,4
58,4626,9006,3
59,37239,15387,3
60,44683,130,3
61,3185,7697,5
62,5720,13201,4
63,38965,7035,2
64,45281,9968,4
65,6694,729,3
66,7877,8036,5
67,7164,1874,5
68,30934,13203,4
69,47972,3799,4
70,52010,9762,1
71,21135,10608,3
72,31873,13562,2
73,8042,9354,4
74,37897,10968,5
75,37611,3606,3
76,47639,5658,3
77,34987,1133,4
78,17840,8653,3
79,6858,15154,4
80,12030,1504,2
81,802,1791,3
82,8334,15496,3
83,10405,4172,4
84,44041,15194,4
85,29718,14569,3
86,4783,7584,4
87,39140,8986,4
88,11429,467,5
89,46771,6609,4
90,40004,2103,4
91,24023,10966,3
92,40214,10470,4
93,17307,3782,3
94,40832,10686,5
95,14449,895,4
96,7426,15179,1
97,47042,10880,3
98,39989,14050,2
99,37496,14343,5
100,52349,12671,5
101,22427,7923,3
102,18773,15642,5
103,13741,12278,4
104,13446,4738,3
105,45787,7998,3
106,50282,13988,4
107,11001,14160,4
108,11126,2813,3
109,53146,3474,3
110,51246,6812,4
111,43873,1189,3
112,36511,10987,5
113,5675,13387,5
114,16280,14844,3
115,9161,3639,5
116,19040,11551,2
117,6264,10818,4
118,34567,3474,3
119,40990,8592,5
120,27311,14230,5
121,35532,9536,3
122,41535,3742,3
123,28181,12718,3
124,7439,15495,4
125,18334,9375,5
126,37595,16241,5
127,17452,13643,3
128,7176,10863,3
129,10581,15948,4
130,21013,4118,3
131,16688,3726,3
132,20263,6458,3
133,40838,13059,3
134,43916,8780,5
135,7913,9444,5
136,11822,9762,4
137,2173,12932,2
138,34701,12582,5
139,34420,2041,4
140,53887,13694,3
141,35207,3661,2
