,rating
0,4
1,3
2,4
3,2
4,4
5,2
6,5
7,4
8,4
9,4
10,3
11,4
12,3
13,3
14,3
15,4
16,4
17,4
18,4
19,3
20,4
21,2
22,4
23,5
24,5
25,4
26,5
27,4
28,3
29,4
30,5
31,5
32,3
33,3
34,4
35,5
36,2
37,4
38,4
39,3
40,3
41,2
42,3
43,2
44,3
45,5
46,4
47,2
48,3
49,3
50,3
51,3
52,4
53,3
54,4
55,3
56,4
57,3
58,4
59,3
60,2
61,3
62,5
63,2
64,3
65,4
66,3
67,2
68,4
69,4
70,3
71,4
72,4
73,4
74,4
75,3
76,2
77,4
78,4
79,3
80,4
81,4
82,3
83,4
84,4
85,4
86,2
87,3
88,3
89,2
90,4
91,4
92,4
93,3
94,4
95,4
96,3
97,4
98,3
99,4
100,4
101,3
102,4
103,4
104,3
105,4
106,3
107,4
108,3
109,4
110,3
111,4
112,1
113,3
114,3
115,4
116,2
117,2
118,3
119,3
120,2
121,3
122,4
123,3
124,3
125,4
126,3
127,3
128,3
129,2
130,2
131,3
132,3
133,3
134,3
135,4
136,2
137,3
138,4
139,3
140,4
141,4
142,3
143,3
144,4
145,4
146,3
147,3
148,4
149,3
150,3
151,2
152,3
153,4
154,4
155,4
156,4
157,3
158,3
159,4
160,4
161,4
162,5
163,2
164,4
165,3
166,3
167,4
168,5
169,4
170,4
171,4
172,5
173,3
174,4
175,4
176,3
177,4
178,3
179,5
180,2
181,3
182,4
183,4
184,4
185,3
186,3
187,3
188,2
189,4
190,2
191,4
192,2
193,3
194,3
195,5
196,4
197,4
198,3
199,3
200,4
201,5
202,2
203,2
204,4
205,3
206,3
207,3
208,4
209,3
210,4
211,4
212,5
213,4
214,5
215,3
216,4
217,2
218,4
219,5
220,3
221,2
222,2
223,3
224,3
225,3
226,4
227,4
228,3
229,4
230,5
231,2
232,3
233,3
234,4
235,3
236,2
237,4
238,4
239,4
240,2
241,4
242,4
243,3
244,5
245,3
246,4
247,3
248,2
249,3
250,4
251,5
252,3
253,4
254,5
255,1
256,2
257,5
258,4
259,3
260,4
261,3
262,4
263,4
264,4
265,4
266,4
267,4
268,5
269,5
270,4
271,5
272,4
273,5
274,4
275,5
276,4
277,2
278,3
279,4
280,4
281,4
282,4
283,4
284,3
285,3
286,3
287,5
288,4
289,1
290,5
291,4
292,4
293,4
294,4
295,3
296,4
297,4
298,4
299,5
300,4
301,3
302,3
303,5
304,4
305,5
306,5
307,5
308,3
309,4
310,4
311,4
312,3
313,3
314,5
315,4
316,5
317,5
318,2
319,4
320,3
321,5
322,3
323,4
324,4
325,5
326,3
327,5
328,3
329,5
330,3
331,2
332,5
333,3
334,4
335,2
336,4
337,3
338,4
339,5
340,3
341,4
342,5
343,3
344,4
345,4
346,4
347,2
348,4
349,5
350,3
351,5
352,3
353,4
354,4
355,3
356,3
357,4
358,4
359,4
360,5
361,3
362,4
363,5
364,5
365,3
366,5
367,2
368,5
369,4
370,5
371,4
372,4
373,3
374,4
375,2
376,4
377,4
378,5
379,5
380,1
381,3
382,4
383,5
384,5
385,3
386,5
387,3
388,4
389,2
390,4
391,1
392,2
393,2
394,5
395,3
396,4
397,3
398,4
399,3
400,4
401,4
402,4
403,3
404,3
405,5
406,1
407,4
408,2
409,3
410,5
411,2
412,3
413,4
414,5
415,2
416,4
417,4
418,4
419,4
420,5
421,4
422,5
423,5
424,4
425,1
426,3
427,4
428,5
429,4
430,2
431,4
432,5
433,3
434,4
435,4
436,2
437,4
438,4
439,4
440,1
441,3
442,2
443,1
444,3
445,4
446,4
447,5
448,5
449,4
450,4
451,3
452,3
453,4
454,5
455,4
456,5
457,4
458,4
459,5
460,5
461,3
462,5
463,4
464,5
465,5
466,5
467,3
468,2
469,2
470,3
471,4
472,3
473,4
474,4
475,4
476,5
477,3
478,4
479,5
480,3
481,4
482,3
483,5
484,5
485,3
486,4
487,5
488,5
489,5
490,4
491,5
492,5
493,4
494,1
495,5
496,3
497,3
498,5
499,4
500,5
501,3
502,4
503,3
504,5
505,4
506,3
507,4
508,4
509,4
510,4
511,4
512,3
513,4
514,3
515,4
516,4
517,5
518,5
519,3
520,5
521,4
522,4
523,3
524,2
525,3
526,2
527,3
528,3
529,2
530,3
531,4
532,4
533,5
534,3
535,5
536,4
537,3
538,4
539,5
540,3
541,4
542,1
543,3
544,5
545,5
546,3
547,4
548,1
549,4
550,3
551,1
552,5
553,5
554,2
555,3
556,4
557,3
558,1
559,3
560,5
561,1
562,2
563,5
564,2
565,4
566,3
567,1
568,4
569,1
570,4
571,5
572,3
573,3
574,4
575,3
576,3
577,3
578,5
579,4
580,5
581,4
582,4
583,5
584,2
585,3
586,3
587,2
588,4
589,5
590,4
591,3
592,2
593,3
594,3
595,4
596,4
597,4
598,4
599,4
600,4
601,5
602,4
603,3
604,3
605,3
606,5
607,4
608,4
609,5
610,1
611,5
612,3
613,5
614,4
615,3
616,4
617,4
618,4
619,2
620,4
621,1
622,5
623,4
624,4
625,4
626,4
627,4
628,4
629,1
630,3
631,4
632,4
633,5
634,3
635,3
636,4
637,4
638,3
639,5
640,4
641,1
642,3
643,4
644,4
645,4
646,4
647,1
648,2
649,3
650,2
651,5
652,3
653,3
654,4
655,4
656,4
657,4
658,4
659,5
660,4
661,5
662,5
663,2
664,3
665,3
666,4
667,4
668,4
669,3
670,5
671,1
672,3
673,3
674,4
675,5
676,4
677,5
678,4
679,4
680,3
681,5
682,3
683,4
684,5
685,4
686,4
687,3
688,4
689,4
690,1
691,4
692,2
693,1
694,5
695,4
696,5
697,1
698,4
699,4
700,4
701,4
702,4
703,4
704,4
705,3
706,1
707,4
708,5
709,4
710,4
711,4
712,5
713,5
714,3
715,4
716,3
717,3
718,4
719,3
720,5
721,1
722,1
723,5
724,3
725,4
726,4
727,4
728,5
729,3
730,5
731,4
732,5
733,1
734,5
735,2
736,3
737,3
738,5
739,3
740,4
741,4
742,3
743,5
744,1
745,3
746,5
747,2
748,4
749,5
750,5
751,3
752,1
753,5
754,3
755,4
756,1
757,2
758,1
759,5
760,4
761,4
762,3
763,3
764,1
765,4
766,2
767,1
768,3
769,4
770,2
771,5
772,2
773,5
774,3
775,3
776,1
777,5
778,4
779,3
780,4
781,3
782,3
783,5
784,5
785,4
786,5
787,4
788,2
789,3
790,2
791,3
792,5
793,5
794,4
795,4
796,4
797,3
798,5
799,3
800,2
801,2
802,4
803,5
804,4
805,3
806,4
807,4
808,4
809,5
810,5
811,5
812,4
813,5
814,4
815,3
816,3
817,4
818,4
819,4
820,1
821,5
822,5
823,3
824,5
825,4
826,3
827,1
828,4
829,5
830,1
831,3
832,4
833,2
834,4
835,3
836,5
837,5
838,4
839,4
840,5
841,4
842,3
843,3
844,4
845,5
846,4
847,4
848,4
849,2
850,4
851,4
852,1
853,5
854,4
855,4
856,5
857,4
858,5
859,4
860,5
861,5
862,5
863,5
864,2
865,5
866,3
867,3
868,4
869,5
870,1
871,5
872,4
873,5
874,4
875,5
876,3
877,4
878,1
879,3
880,3
881,4
882,4
883,1
884,4
885,4
886,5
887,5
888,5
889,1
890,2
891,3
892,3
893,5
894,3
895,3
896,2
897,3
898,3
899,4
900,3
901,4
902,2
903,5
904,5
905,4
906,4
907,4
908,3
909,4
910,3
911,4
912,4
913,5
914,2
915,2
916,4
917,5
918,4
919,3
920,4
921,4
922,3
923,5
924,4
925,3
926,5
927,3
928,4
929,4
930,5
931,5
932,5
933,3
934,4
935,5
936,4
937,2
938,5
939,4
940,5
941,4
942,4
943,3
944,4
945,1
946,5
947,4
948,5
949,5
950,4
951,5
952,2
953,4
954,4
955,4
956,4
957,4
958,2
959,2
960,5
961,5
962,5
963,3
964,4
965,3
966,3
967,2
968,4
969,4
970,1
971,4
972,3
973,4
974,3
975,2
976,5
977,5
978,2
979,4
980,2
981,4
982,5
983,5
984,4
985,5
986,1
987,5
988,4
989,3
990,1
991,4
992,1
993,1
994,3
995,4
996,5
997,4
998,4
999,5
1000,4
1001,5
1002,4
1003,1
1004,4
1005,4
1006,5
1007,3
1008,3
1009,4
1010,5
1011,4
1012,5
1013,2
1014,5
1015,4
1016,5
1017,4
1018,4
1019,4
1020,4
1021,4
1022,5
1023,3
1024,5
1025,4
1026,5
1027,4
1028,3
1029,3
1030,4
1031,3
1032,3
1033,3
1034,4
1035,5
1036,5
1037,3
1038,4
1039,5
1040,3
1041,4
1042,5
1043,4
1044,5
1045,5
1046,4
1047,5
1048,3
1049,1
1050,4
1051,5
1052,3
1053,4
1054,5
1055,4
1056,2
1057,4
1058,5
1059,5
1060,5
1061,4
1062,3
1063,5
1064,4
1065,3
1066,3
1067,4
1068,5
1069,4
1070,4
1071,1
1072,4
1073,5
1074,3
1075,5
1076,1
1077,4
1078,3
1079,2
1080,5
1081,5
1082,4
1083,5
1084,4
1085,5
1086,1
1087,5
1088,4
1089,3
1090,4
1091,5
1092,1
1093,4
1094,5
1095,5
1096,2
1097,1
1098,5
1099,3
1100,4
1101,5
1102,2
1103,3
1104,4
1105,4
1106,3
1107,2
1108,3
1109,5
1110,3
1111,2
1112,4
1113,5
1114,4
1115,4
1116,3
1117,4
1118,4
1119,3
1120,4
1121,3
1122,2
1123,1
1124,4
1125,4
1126,3
1127,4
1128,4
1129,3
1130,2
1131,4
1132,5
1133,4
1134,4
1135,4
1136,5
1137,3
1138,3
1139,5
1140,4
1141,3
1142,5
1143,3
1144,4
1145,4
1146,4
1147,4
1148,4
1149,4
1150,3
1151,3
1152,4
1153,4
1154,3
1155,3
1156,3
1157,4
1158,3
1159,4
1160,5
1161,2
1162,3
1163,2
1164,4
1165,5
1166,4
1167,4
1168,2
1169,4
1170,5
1171,5
1172,2
1173,3
1174,4
1175,1
1176,4
1177,3
1178,4
1179,3
1180,5
1181,3
1182,4
1183,5
1184,3
1185,3
1186,3
1187,3
1188,3
1189,4
1190,3
1191,4
1192,5
1193,3
1194,4
1195,3
1196,3
1197,4
1198,3
1199,5
1200,2
1201,5
1202,3
1203,4
1204,1
1205,4
1206,5
1207,5
1208,3
1209,4
1210,5
1211,3
1212,5
1213,3
1214,4
1215,5
1216,4
1217,5
1218,5
1219,4
1220,4
1221,4
1222,4
1223,3
1224,4
1225,4
1226,1
1227,5
1228,4
1229,5
1230,4
1231,5
1232,5
1233,5
1234,2
1235,2
1236,2
1237,3
1238,3
1239,3
1240,5
1241,4
1242,4
1243,5
1244,3
1245,4
1246,4
1247,4
1248,1
1249,3
1250,4
1251,1
1252,4
1253,5
1254,5
1255,4
1256,3
1257,4
1258,1
1259,5
1260,3
1261,3
1262,3
1263,3
1264,3
1265,3
1266,4
1267,4
1268,5
1269,4
1270,5
1271,3
1272,3
1273,3
1274,5
1275,4
1276,5
1277,5
1278,4
1279,3
1280,4
1281,5
1282,3
1283,4
1284,2
1285,3
1286,1
1287,3
1288,4
1289,2
1290,5
1291,4
1292,4
1293,4
1294,5
1295,2
1296,5
1297,3
1298,5
1299,4
1300,5
1301,5
1302,3
1303,2
1304,5
1305,5
1306,2
1307,5
1308,4
1309,4
1310,5
1311,4
1312,4
1313,5
1314,4
1315,3
1316,4
1317,4
1318,4
1319,5
1320,4
1321,3
1322,4
1323,3
1324,3
1325,3
1326,5
1327,3
1328,2
1329,4
1330,2
1331,4
1332,1
1333,3
1334,3
1335,3
1336,3
1337,4
1338,5
1339,3
1340,4
1341,3
1342,2
1343,3
1344,2
1345,4
1346,3
1347,3
1348,4
1349,4
1350,4
1351,3
1352,4
1353,5
1354,3
1355,4
1356,5
1357,3
1358,4
1359,3
1360,5
1361,4
1362,4
1363,3
1364,3
1365,4
1366,4
1367,1
1368,5
1369,4
1370,5
1371,5
1372,3
1373,2
1374,4
1375,3
1376,5
1377,4
1378,3
1379,3
1380,5
1381,3
1382,4
1383,5
1384,4
1385,3
1386,4
1387,4
1388,5
1389,3
1390,5
1391,2
1392,4
1393,2
1394,5
1395,4
1396,4
1397,3
1398,3
1399,2
1400,3
1401,4
1402,4
1403,3
1404,4
1405,3
1406,4
1407,4
1408,2
1409,3
1410,4
1411,3
1412,3
1413,4
1414,4
1415,4
1416,4
1417,4
1418,4
1419,4
1420,5
1421,4
1422,1
1423,4
1424,2
1425,5
1426,3
1427,3
1428,5
1429,3
1430,2
1431,3
1432,3
1433,2
1434,3
1435,4
1436,4
1437,5
1438,4
1439,1
1440,3
1441,5
1442,4
1443,5
1444,5
1445,4
1446,4
1447,2
1448,4
1449,4
1450,3
1451,3
1452,4
1453,3
1454,1
1455,1
1456,3
1457,4
1458,5
1459,5
1460,2
1461,1
1462,5
1463,4
1464,4
1465,4
1466,4
1467,4
1468,3
1469,4
1470,4
1471,4
1472,3
1473,4
1474,3
1475,3
1476,5
1477,2
1478,5
1479,4
1480,5
1481,5
1482,5
1483,1
1484,3
1485,3
1486,2
1487,4
1488,4
1489,4
1490,1
1491,4
1492,3
1493,3
1494,4
1495,3
1496,2
1497,3
1498,4
1499,3
1500,4
1501,5
1502,4
1503,3
1504,4
1505,3
1506,4
1507,3
1508,4
1509,4
1510,5
1511,5
1512,2
1513,2
1514,2
1515,4
1516,3
1517,4
1518,5
1519,3
1520,4
1521,5
1522,4
1523,3
1524,2
1525,4
1526,4
1527,4
1528,5
1529,2
1530,2
1531,4
1532,3
1533,3
1534,3
1535,1
1536,4
1537,4
1538,3
1539,5
1540,3
1541,3
1542,4
1543,5
1544,3
1545,2
1546,4
1547,2
1548,2
1549,3
1550,5
1551,4
1552,4
1553,3
1554,3
1555,5
1556,3
1557,4
1558,2
1559,2
1560,2
1561,3
1562,4
1563,5
1564,4
1565,4
1566,4
1567,4
1568,3
1569,3
1570,1
1571,3
1572,2
1573,3
1574,3
1575,5
1576,2
1577,5
1578,5
1579,4
1580,4
1581,3
1582,4
1583,4
1584,3
1585,5
1586,4
1587,2
1588,4
1589,3
1590,4
1591,4
1592,4
1593,4
1594,1
1595,4
1596,3
1597,4
1598,5
1599,5
1600,5
1601,1
1602,4
1603,5
1604,3
1605,4
1606,3
1607,4
1608,3
1609,3
1610,1
1611,3
1612,5
1613,3
1614,3
1615,4
1616,4
1617,5
1618,4
1619,3
1620,3
1621,3
1622,4
1623,2
1624,3
1625,1
1626,4
1627,3
1628,2
1629,4
1630,3
1631,4
1632,4
1633,4
1634,5
1635,4
1636,4
1637,4
1638,3
1639,2
1640,5
1641,1
1642,5
1643,5
1644,5
1645,3
1646,4
1647,3
1648,4
1649,3
1650,5
1651,3
1652,2
1653,1
1654,4
1655,4
1656,5
1657,5
1658,1
1659,3
1660,2
1661,3
1662,4
1663,4
1664,4
1665,3
1666,4
1667,4
1668,2
1669,5
1670,1
1671,2
1672,4
1673,4
1674,4
1675,1
1676,3
1677,4
1678,5
1679,5
1680,5
1681,4
1682,3
1683,2
1684,1
1685,4
1686,4
1687,4
1688,4
1689,5
1690,3
1691,5
1692,5
1693,3
1694,3
1695,3
1696,4
1697,5
1698,2
1699,1
1700,4
1701,4
1702,4
1703,4
1704,4
1705,2
1706,3
1707,2
1708,4
1709,2
1710,4
1711,3
1712,5
1713,4
1714,5
1715,2
1716,5
1717,4
1718,2
1719,3
1720,4
1721,3
1722,3
1723,4
1724,3
1725,4
1726,4
1727,3
1728,4
1729,3
1730,4
1731,3
1732,4
1733,5
1734,3
1735,4
1736,3
1737,2
1738,4
1739,3
1740,3
1741,4
1742,4
1743,4
1744,4
1745,5
1746,4
1747,4
1748,3
1749,3
1750,2
1751,3
1752,3
1753,4
1754,4
1755,3
1756,5
1757,5
1758,3
1759,3
1760,4
1761,2
1762,4
1763,5
1764,4
1765,5
1766,4
1767,4
1768,2
1769,4
1770,2
1771,1
1772,5
1773,3
1774,3
1775,2
1776,1
1777,5
1778,3
1779,4
1780,4
1781,5
1782,5
1783,3
1784,4
1785,4
1786,4
1787,4
1788,2
1789,5
1790,4
1791,5
1792,3
1793,3
1794,4
1795,1
1796,3
1797,4
1798,5
1799,4
1800,4
1801,4
1802,2
1803,4
1804,5
1805,2
1806,4
1807,3
1808,4
1809,3
1810,3
1811,4
1812,3
1813,3
1814,5
1815,5
1816,5
1817,3
1818,5
1819,2
1820,2
1821,3
1822,4
1823,3
1824,4
1825,5
1826,5
1827,4
1828,4
1829,5
1830,4
1831,4
1832,1
1833,4
1834,1
1835,5
1836,3
1837,3
1838,4
1839,4
1840,4
1841,5
1842,3
1843,5
1844,3
1845,5
1846,3
1847,5
1848,2
1849,4
1850,3
1851,1
1852,5
1853,5
1854,4
1855,2
1856,3
1857,4
1858,4
1859,3
1860,5
1861,3
1862,4
1863,2
1864,3
1865,4
1866,3
1867,3
1868,4
1869,4
1870,5
1871,3
1872,4
1873,4
1874,3
1875,4
1876,4
1877,4
1878,4
1879,4
1880,5
1881,3
1882,4
1883,4
1884,1
1885,3
1886,3
1887,2
1888,3
1889,3
1890,4
1891,3
1892,3
1893,5
1894,5
1895,4
1896,4
1897,5
1898,4
1899,5
1900,5
1901,5
1902,3
1903,4
1904,3
1905,4
1906,4
1907,4
1908,4
1909,3
1910,4
1911,3
1912,3
1913,2
1914,3
1915,3
1916,5
1917,3
1918,3
1919,3
1920,5
1921,5
1922,2
1923,3
1924,4
1925,5
1926,3
1927,5
1928,4
1929,3
1930,4
1931,3
1932,3
1933,1
1934,4
1935,3
1936,3
1937,5
1938,5
1939,4
1940,5
1941,3
1942,4
1943,2
1944,3
1945,4
1946,4
1947,5
1948,4
1949,3
1950,3
1951,3
1952,4
1953,3
1954,3
1955,2
1956,4
1957,2
1958,5
1959,4
1960,4
1961,1
1962,3
1963,3
1964,1
1965,4
1966,4
1967,4
1968,3
1969,3
1970,5
1971,4
1972,3
1973,4
1974,2
1975,5
1976,4
1977,4
1978,3
1979,5
1980,4
1981,4
1982,3
1983,3
1984,4
1985,5
1986,3
1987,3
1988,5
1989,3
1990,4
1991,4
1992,3
1993,4
1994,4
1995,1
1996,5
1997,5
1998,1
1999,3
2000,3
2001,3
2002,4
2003,4
2004,4
2005,3
2006,3
2007,3
2008,3
2009,3
2010,4
2011,4
2012,5
2013,3
2014,4
2015,1
2016,4
2017,3
2018,3
2019,4
2020,5
2021,3
2022,5
2023,4
2024,3
2025,2
2026,4
2027,4
2028,5
2029,4
2030,5
2031,3
2032,4
2033,3
2034,5
2035,4
2036,4
2037,5
2038,4
2039,3
2040,4
2041,4
2042,5
2043,2
2044,4
2045,3
2046,3
2047,5
2048,4
2049,3
2050,3
2051,4
2052,3
2053,1
2054,3
2055,4
2056,5
2057,4
2058,3
2059,4
2060,3
2061,5
2062,4
2063,2
2064,3
2065,3
2066,4
2067,5
2068,4
2069,3
2070,5
2071,4
2072,4
2073,4
2074,4
2075,5
2076,3
2077,4
2078,4
2079,4
2080,4
2081,3
2082,3
2083,5
2084,4
2085,1
2086,3
2087,3
2088,3
2089,5
2090,4
2091,3
2092,3
2093,5
2094,4
2095,4
2096,4
2097,4
2098,1
2099,3
2100,4
2101,3
2102,3
2103,5
2104,4
2105,3
2106,4
2107,4
2108,3
2109,5
2110,5
2111,5
2112,4
2113,4
2114,2
2115,4
2116,3
2117,3
2118,5
2119,2
2120,3
2121,5
2122,3
2123,4
2124,3
2125,3
2126,3
2127,2
2128,2
2129,4
2130,5
2131,2
2132,4
2133,4
2134,3
2135,4
2136,5
2137,5
2138,4
2139,4
2140,4
2141,2
2142,3
2143,3
2144,5
2145,5
2146,5
2147,4
2148,3
2149,5
2150,4
2151,4
2152,3
2153,3
2154,4
2155,4
2156,4
2157,5
2158,3
2159,4
2160,5
2161,3
2162,4
2163,4
2164,5
2165,3
2166,5
2167,3
2168,4
2169,4
2170,5
2171,3
2172,5
2173,3
2174,3
2175,3
2176,2
2177,4
2178,5
2179,3
2180,1
2181,3
2182,4
2183,3
2184,1
2185,3
2186,1
2187,3
2188,3
2189,3
2190,1
2191,1
2192,2
2193,5
2194,5
2195,5
2196,1
2197,5
2198,5
2199,3
2200,3
2201,1
2202,4
2203,4
2204,5
2205,3
2206,4
2207,4
2208,1
2209,1
2210,4
2211,4
2212,5
2213,3
2214,2
2215,3
2216,3
2217,4
2218,4
2219,3
2220,2
2221,5
2222,3
2223,3
2224,4
2225,4
2226,2
2227,2
2228,3
2229,3
2230,4
2231,4
2232,3
2233,2
2234,3
2235,3
2236,3
2237,3
2238,5
2239,3
2240,4
2241,1
2242,4
2243,3
2244,5
2245,3
2246,4
2247,5
2248,3
2249,3
2250,3
2251,3
2252,2
2253,5
2254,4
2255,2
2256,5
2257,5
2258,5
2259,5
2260,1
2261,3
2262,3
2263,2
2264,3
2265,3
2266,5
2267,5
2268,4
2269,2
2270,4
2271,3
2272,3
2273,5
2274,4
2275,4
2276,3
2277,4
2278,4
2279,4
2280,3
2281,4
2282,4
2283,5
2284,3
2285,5
2286,4
2287,3
2288,5
2289,3
2290,1
2291,3
2292,5
2293,4
2294,3
2295,4
2296,3
2297,5
2298,2
2299,4
2300,4
2301,4
2302,2
2303,4
2304,4
2305,4
2306,3
2307,4
2308,3
2309,3
2310,3
2311,4
2312,4
2313,1
2314,1
2315,4
2316,4
2317,5
2318,3
2319,3
2320,2
2321,1
2322,4
2323,3
2324,1
2325,3
